scenario,status,total_demand,total_shipped,total_unmet,objective,pct_demand_met,pct_unmet
Normal,Optimal,199.99999999999997,200.000001,0.0,6054.828238544739,1.0000000050000002,0.0
Bad,Optimal,199.99999999999997,184.1876807,15.81232,20482.688756369676,0.9209384035000001,0.07906160000000001
