County,Demand_units,Normal_shipped,Normal_unmet,Normal_service_ratio,Bad_shipped,Bad_unmet,Bad_service_ratio
Polk,83.83036451574849,83.830365,0.0,1.0000000057765646,83.830365,0.0,1.0000000057765646
Linn,38.669846138290154,38.669846,0.0,0.9999999964238245,38.669846,0.0,0.9999999964238245
Scott,29.37393619710477,29.373936,0.0,0.9999999932898075,13.561616,15.81232,0.46168875390070113
Johnson,26.101046529264053,26.101047,0.0,1.000000018035137,26.101046699999998,0.0,1.0000000065413448
Black Hawk,22.024806619592507,22.024807,0.0,1.0000000172717745,22.024807,0.0,1.0000000172717745
